Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards
Adrian Baquerin,ESP,Forward (FW),Valladolid,17,5,49,0,0,0,0
Valentín Barco,ARG,Defender (DF),Sevilla,20,7,288,0,0,0,0
Borna Barišić,CRO,Defender (DF),Leganés,31,1,9,0,0,0,0
Kike Barja,ESP,Forward (FW),Osasuna,27,15,315,0,1,3,0
Enzo Barrenechea,ARG,Midfielder (MF),Valencia,23,30,2191,1,2,6,0
Ander Barrenetxea,ESP,Midfielder (MF),Real Sociedad,22,30,1263,1,3,6,0
Pablo Barrios,ESP,Midfielder (MF),Atlético Madrid,21,31,2330,1,4,4,1
Thierno Barry,FRA,Forward (FW),Villarreal,21,35,2323,11,4,4,0
Marc Bartra,ESP,Defender (DF),Betis,33,25,2099,2,1,2,0
Aboubacar Bassinga,CIV,Midfielder (MF),Las Palmas,19,1,4,0,0,0,0
Augusto Batalla,ARG,Goalkeeper (GK),Rayo Vallecano,28,32,2880,0,0,6,0
Rafael Bauza,ESP,Midfielder (MF),Espanyol,19,5,183,0,0,1,0
Sheraldo Becker,SUR,Forward (FW),Real Sociedad,29,22,995,2,1,1,1
Donny van de Beek,NED,Midfielder (MF),Girona,27,26,1421,2,2,5,0
Luken Beitia,ESP,Defender (DF),Real Sociedad,20,1,8,0,0,0,0
Ismael Bekhoucha,MAR,Midfielder (MF),Getafe,19,5,69,0,0,2,0
Héctor Bellerín,ESP,Defender (DF),Betis,29,9,580,0,2,1,0
Jude Bellingham,ENG,Midfielder (MF),Real Madrid,21,31,2488,9,8,5,1
Fran Beltrán,ESP,Midfielder (MF),Celta Vigo,25,34,2421,2,1,3,0
Carlos Benavídez,URU,Midfielder (MF),Alavés,26,18,487,1,1,3,0
Iker Benito,ESP,Forward (FW),Osasuna,21,2,37,0,0,0,0
Yuri Berchiche,ESP,Defender (DF),Athletic Club,34,30,2044,0,2,5,0
Álex Berenguer,ESP,Forward (FW),Athletic Club,29,36,2339,6,7,5,0
Marc Bernal,ESP,Midfielder (MF),Barcelona,17,3,242,0,0,2,0
Juan Bernat,ESP,Defender (DF),Villarreal,31,10,212,0,1,0,0
Juan Bernat,ESP,Defender (DF),Getafe,31,14,699,0,1,0,0
Juan Berrocal,ESP,Defender (DF),Getafe,25,19,1063,0,0,8,1
Antonio Blanco,ESP,Midfielder (MF),Alavés,24,35,2727,0,1,11,1
Daley Blind,NED,Defender (DF),Girona,34,34,2780,0,2,2,0
Adama Boiro,ESP,Defender (DF),Athletic Club,22,18,1101,0,0,3,0
Enzo Boyomo,CMR,Defender (DF),Osasuna,22,34,2987,2,0,5,0
Enzo Boyomo,CMR,Defender (DF),Valladolid,22,3,270,0,0,0,0
Darko Brašanac,SRB,Midfielder (MF),Leganés,32,30,1617,1,2,4,0
Tajon Buchanan,CAN,Midfielder (MF),Villarreal,25,13,416,1,2,2,0
Ante Budimir,CRO,Forward (FW),Osasuna,33,38,2952,21,4,4,0
Manu Bueno,ESP,Midfielder (MF),Sevilla,20,9,140,1,0,0,0
Endika Buján,ESP,Forward (FW),Athletic Club,21,1,7,0,0,0,0
Pau Cabanes,ESP,Midfielder (MF),Villarreal,19,10,163,1,0,0,0
Pau Cabanes,ESP,Midfielder (MF),Alavés,19,6,188,0,0,1,0
Leandro Cabrera,URU,Defender (DF),Espanyol,33,33,2869,4,2,4,1
Fernando Calero,ESP,Defender (DF),Espanyol,28,21,715,1,0,1,0
Eduardo Camavinga,FRA,Midfielder (MF),Real Madrid,21,19,1102,1,2,2,0
Sergio Camello,ESP,Forward (FW),Rayo Vallecano,23,23,1134,3,2,2,0
José Campaña,ESP,Midfielder (MF),Las Palmas,31,25,1189,0,3,5,0
Peio Canales,ESP,Midfielder (MF),Athletic Club,19,8,259,0,0,0,0
Antonio Candela,ITA,Defender (DF),Valladolid,24,12,906,0,0,1,0
Sergi Canós,ESP,Midfielder (MF),Valencia,27,17,370,0,1,3,0
Dani Cárdenas,ESP,Goalkeeper (GK),Rayo Vallecano,27,6,540,0,0,0,0
Irvin Cardona,FRA,Forward (FW),Espanyol,26,16,606,1,1,1,0
Marc Cardona,ESP,Forward (FW),Las Palmas,29,11,132,0,0,2,0
Sergi Cardona,ESP,Defender (DF),Villarreal,25,35,2945,1,7,11,0
Johnny Cardoso,USA,Midfielder (MF),Betis,22,28,2144,3,1,4,0
José Carlos González,ESP,Defender (DF),Las Palmas,18,1,11,0,0,0,0
Carmona,ESP,Defender (DF),Sevilla,22,35,2942,0,0,11,0
Sergio Carreira,ESP,Midfielder (MF),Celta Vigo,23,23,1656,0,4,1,0
Dani Carvajal,ESP,Defender (DF),Real Madrid,32,8,609,1,0,1,0
William Carvalho,POR,Midfielder (MF),Betis,32,14,484,0,0,1,0
Marc Casado,ESP,Midfielder (MF),Barcelona,20,23,1611,1,3,4,1
Catena,ESP,Defender (DF),Osasuna,29,35,3074,1,3,11,0
Maximiliano Caufriez,BEL,Defender (DF),Valencia,27,1,90,0,0,0,0
Dani Ceballos,ESP,Midfielder (MF),Real Madrid,27,23,1215,0,0,4,0
Franco Cervi,ARG,Forward (FW),Celta Vigo,30,7,273,0,0,1,0
Raúl Chasco,ESP,Defender (DF),Valladolid,20,2,130,0,0,0,0
Pep Chavarría,ESP,Defender (DF),Rayo Vallecano,26,34,2585,0,1,3,0
Walid Cheddira,MAR,Forward (FW),Espanyol,26,22,640,1,1,3,0
Chema,ESP,Midfielder (MF),Real Madrid,19,2,12,0,0,0,0
Julián Chicco,ARG,Midfielder (MF),Leganés,26,14,302,0,1,0,0
Chiquinho,POR,Midfielder (MF),Mallorca,24,8,146,0,0,2,0
Andreas Christensen,DEN,Defender (DF),Barcelona,28,5,254,0,0,3,0
Jasper Cillessen,NED,Goalkeeper (GK),Las Palmas,35,27,2335,0,0,1,0
Pathé Ciss,SEN,Midfielder (MF),Rayo Vallecano,30,33,2140,4,1,12,0
Seydouba Cissé,GUI,Midfielder (MF),Leganés,23,34,2435,3,1,3,1
Silvi Clúa,ESP,Midfielder (MF),Girona,19,4,163,0,0,0,0
Eray Cömert,SUI,Defender (DF),Valladolid,26,25,1779,0,0,6,0
Santi Comesaña,ESP,Midfielder (MF),Villarreal,27,35,2560,4,2,7,0
Diego Conde,ESP,Goalkeeper (GK),Villarreal,25,22,1962,0,1,2,0
Tomás Conechny,ARG,Forward (FW),Alavés,26,22,847,1,0,8,0
Copete,ESP,Defender (DF),Mallorca,24,25,1528,0,0,6,0
Iker Córdoba,ESP,Defender (DF),Valencia,18,2,15,0,0,0,0
Ángel Correa,ARG,Forward (FW),Atlético Madrid,29,31,805,4,1,3,1
Thierry Correia,POR,Defender (DF),Valencia,25,11,768,0,0,1,0
Coba da Costa,ESP,Midfielder (MF),Getafe,22,19,1006,1,1,4,0
Logan Costa,CPV,Defender (DF),Villarreal,23,32,2587,2,1,3,0
Samu Costa,POR,Midfielder (MF),Mallorca,23,32,2649,0,2,10,1
Thibaut Courtois,BEL,Goalkeeper (GK),Real Madrid,32,30,2700,0,0,1,0
Juan Cruz Armada,ESP,Defender (DF),Osasuna,32,25,1492,0,0,4,0
Juan Cruz,ESP,Forward (FW),Leganés,24,34,2257,5,4,2,0
Pau Cubarsí,ESP,Defender (DF),Barcelona,17,35,2618,0,3,3,0
Cucho,COL,Forward (FW),Betis,25,15,1139,5,1,0,0
Arnaut Danjuma,NED,Forward (FW),Villarreal,27,3,200,2,0,1,0
Arnaut Danjuma,NED,Forward (FW),Girona,27,25,1335,2,0,2,0
Sergi Darder,ESP,Midfielder (MF),Mallorca,30,38,2744,2,6,4,0
Rodrigo De Paul,ARG,Midfielder (MF),Atlético Madrid,30,34,2106,3,5,7,0
Mouctar Diakhaby,GUI,Defender (DF),Valencia,27,13,653,2,0,0,0
Assane Diao,SEN,Forward (FW),Betis,18,10,277,1,2,0,0
Moussa Diarra,MLI,Defender (DF),Alavés,23,26,1866,0,0,6,0
Brahim Díaz,MAR,Forward (FW),Real Madrid,24,31,1385,4,2,0,0
Daniel Díaz,ESP,Midfielder (MF),Real Sociedad,18,1,10,0,0,0,0
Pedro Díaz,ESP,Midfielder (MF),Rayo Vallecano,26,26,1211,3,0,2,0
Diego,ESP,Forward (FW),Leganés,24,28,1195,3,0,2,0
Stole Dimitrievski,MKD,Goalkeeper (GK),Valencia,30,4,360,0,0,1,0
Yan Diomandé,CIV,Midfielder (MF),Leganés,17,10,545,2,1,1,0
Álvaro djaló,ESP,Forward (FW),Athletic Club,24,17,659,1,0,2,0
Djené,TOG,Defender (DF),Getafe,32,31,2548,0,0,10,1
Marko Dmitrović,SRB,Goalkeeper (GK),Leganés,32,32,2880,0,0,0,0
Marc Domenech,ESP,Forward (FW),Mallorca,18,10,303,0,0,0,0
Carlos Dominguez,ESP,Defender (DF),Celta Vigo,23,19,1181,0,0,1,0
Israel Domínguez,ESP,Forward (FW),Sevilla,21,1,18,0,0,0,0
Sergi Dominguez,ESP,Defender (DF),Barcelona,19,3,172,0,0,1,0
Anastasios Douvikas,GRE,Forward (FW),Celta Vigo,24,20,700,3,1,2,0
Domingos Duarte,POR,Defender (DF),Getafe,29,22,1859,1,0,4,2
Duk,CPV,Midfielder (MF),Leganés,24,10,179,0,0,1,0
Pablo Durán,ESP,Forward (FW),Celta Vigo,23,27,1394,4,4,3,0
Hugo Duro,ESP,Forward (FW),Valencia,24,31,2166,11,2,5,0
Chidera Ejuke,NGA,Forward (FW),Sevilla,26,25,966,2,1,0,0
Aritz Elustondo,ESP,Defender (DF),Real Sociedad,30,22,1457,0,0,2,1
Adri Embarba,ESP,Forward (FW),Rayo Vallecano,32,35,1607,1,1,4,0
Endrick,BRA,Forward (FW),Real Madrid,18,22,363,1,0,1,0
Alfonso Espino,URU,Defender (DF),Rayo Vallecano,32,16,833,0,1,4,0
Dario Essugo,POR,Midfielder (MF),Las Palmas,19,27,1938,1,0,11,2
Etienne Eto'o,CMR,Forward (FW),Rayo Vallecano,21,2,40,0,0,0,0
Karl Etta,CMR,Midfielder (MF),Villarreal,20,4,37,1,0,0,0
Edu Expósito,ESP,Midfielder (MF),Espanyol,27,19,1045,0,2,3,0
Abde Ezzalzouli,MAR,Forward (FW),Betis,22,32,1984,2,2,2,0
Ansu Fati,ESP,Forward (FW),Barcelona,21,6,233,0,0,1,0
Nabil Fekir,FRA,Midfielder (MF),Betis,31,2,180,0,1,0,0
Kiko Femenía,ESP,Defender (DF),Villarreal,33,28,2227,0,1,7,0
Aitor Fernández,ESP,Goalkeeper (GK),Osasuna,33,1,90,0,0,0,0
Álvaro Fernández,ESP,Goalkeeper (GK),Sevilla,26,9,747,0,0,2,0
Pelayo Fernandez,ESP,Defender (DF),Rayo Vallecano,21,2,98,0,0,1,0
Roberto Férnandez,ESP,Forward (FW),Espanyol,22,19,1497,6,0,1,0
Valery Fernández,ESP,Midfielder (MF),Mallorca,24,18,309,2,0,1,0
André Ferreira,POR,Goalkeeper (GK),Valladolid,28,6,540,0,0,0,0
Mateo Flores,ESP,Midfielder (MF),Betis,20,6,153,0,0,1,0
Pablo Fornals,ESP,Midfielder (MF),Betis,28,26,1827,2,0,2,0
Héctor Fort,ESP,Defender (DF),Barcelona,17,17,585,0,0,2,0
Dimitri Foulquier,FRA,Defender (DF),Valencia,31,32,2299,0,1,6,0
Juan Foyth,ARG,Defender (DF),Villarreal,26,19,1517,1,0,4,0
Fran,ESP,Goalkeeper (GK),Real Madrid,19,1,90,0,0,0,0
Alejandro Francés,ESP,Defender (DF),Girona,21,18,1173,0,0,2,0
Enric Franquesa,ESP,Defender (DF),Leganés,27,12,616,1,0,1,0
Jorge de Frutos,ESP,Forward (FW),Rayo Vallecano,27,36,2495,6,3,3,1
Darío Fuentes,ESP,Defender (DF),Sevilla,21,1,5,0,0,1,0
Manuel Fuster,ESP,Forward (FW),Las Palmas,26,28,1003,2,1,2,0
Javi Galán,ESP,Defender (DF),Atlético Madrid,29,25,1784,0,3,8,0
Iñigo Ruiz de Galarreta,ESP,Midfielder (MF),Athletic Club,30,26,1477,0,4,5,0
Conor Gallagher,ENG,Midfielder (MF),Atlético Madrid,24,32,1633,3,3,2,0
Facundo Garcés,MAS,Defender (DF),Alavés,24,10,678,0,0,2,0
Álvaro García,ESP,Forward (FW),Rayo Vallecano,31,36,2559,4,5,4,0
Eric García,ESP,Defender (DF),Barcelona,23,29,1566,2,3,4,0
Fran Garcia,ESP,Defender (DF),Real Madrid,24,31,2171,0,2,0,0
Gonzalo García,ESP,Forward (FW),Real Madrid,20,3,56,0,1,0,0
Joan García,ESP,Goalkeeper (GK),Espanyol,23,38,3420,0,0,2,0
Pablo Garcia,ESP,Forward (FW),Betis,17,3,38,0,0,0,0
Rubén García,ESP,Forward (FW),Osasuna,31,36,2413,5,5,2,0
Unai García,ESP,Defender (DF),Osasuna,32,3,65,0,0,0,0
Yarek Gasiorowski,ESP,Defender (DF),Valencia,19,15,947,0,0,1,0
Gavi,ESP,Midfielder (MF),Barcelona,19,26,1085,1,1,4,0
Paulo Gazzaniga,ARG,Goalkeeper (GK),Girona,32,36,3195,0,0,4,0
Bryan Gil,ESP,Forward (FW),Girona,23,25,1721,3,3,4,0
Dani Gómez,ESP,Forward (FW),Valencia,26,14,532,2,0,0,0
Moi Gómez,ESP,Midfielder (MF),Osasuna,30,26,796,0,0,1,0
Sergi Gómez,ESP,Defender (DF),Espanyol,32,12,664,0,0,1,0
Sergio Gómez,ESP,Midfielder (MF),Real Sociedad,23,37,2738,2,5,4,0
Unai Gómez,ESP,Midfielder (MF),Athletic Club,21,32,1284,1,3,1,0
Fabio González,ESP,Midfielder (MF),Las Palmas,27,2,53,0,0,0,0
Peter González,DOM,Midfielder (MF),Getafe,22,17,477,0,0,1,0
Urko González,ESP,Midfielder (MF),Espanyol,23,17,1374,0,2,2,0
Urko González,ESP,Midfielder (MF),Real Sociedad,23,1,45,0,0,1,0
Andoni Gorosabel,ESP,Defender (DF),Athletic Club,27,20,1485,0,2,5,0
José Gragera,ESP,Midfielder (MF),Espanyol,23,10,569,0,0,0,0
Dominik Greif,SVK,Goalkeeper (GK),Mallorca,27,31,2790,0,0,1,0
Antoine Griezmann,FRA,Forward (FW),Atlético Madrid,33,38,2469,8,7,2,0
Florian Grillitsch,AUT,Midfielder (MF),Valladolid,28,13,623,0,0,1,0
Vicente Guaita,ESP,Goalkeeper (GK),Celta Vigo,37,34,3060,0,0,0,0
Sergi Guardiola,ESP,Forward (FW),Rayo Vallecano,33,16,362,0,0,1,0
Nemanja Gudelj,SRB,Midfielder (MF),Sevilla,32,31,2493,1,1,6,0
Javier Guerra,ESP,Midfielder (MF),Valencia,21,36,2581,3,3,5,0
Ander Guevara,ESP,Midfielder (MF),Alavés,27,33,1947,0,1,3,0
Pape Gueye,SEN,Midfielder (MF),Villarreal,25,34,2224,4,0,6,2
Hugo Guillamón,ESP,Midfielder (MF),Valencia,24,12,364,0,0,2,0
Carlos Guirao,ESP,Midfielder (MF),Betis,21,2,110,0,0,0,0
Arda Güler,TUR,Midfielder (MF),Real Madrid,19,28,1250,3,4,1,0
Gerard Gumbau,ESP,Midfielder (MF),Rayo Vallecano,29,22,849,0,1,4,0
Jon Guridi,ESP,Midfielder (MF),Alavés,29,33,2080,3,1,6,0
Gorka Guruzeta,ESP,Forward (FW),Athletic Club,27,36,1840,7,2,2,0
Miguel Gutiérrez,ESP,Defender (DF),Girona,23,29,2458,1,5,4,0
Munir El Haddadi,MAR,Forward (FW),Leganés,28,25,862,4,0,1,1
Sébastien Haller,CIV,Forward (FW),Leganés,30,8,404,0,0,0,0
Henrique,BRA,Defender (DF),Valladolid,30,5,352,0,0,0,0
Javi Hernández,ESP,Defender (DF),Leganés,26,31,2389,2,1,6,0
Aridane Hernández,ESP,Defender (DF),Rayo Vallecano,35,14,1025,0,0,1,0
Jorge Herrando,ESP,Defender (DF),Osasuna,23,18,1366,1,0,3,0
Ander Herrera,ESP,Midfielder (MF),Athletic Club,34,8,273,0,0,2,0
Sergio Herrera,ESP,Goalkeeper (GK),Osasuna,31,37,3330,0,0,5,0
Yangel Herrera,VEN,Midfielder (MF),Girona,26,29,2257,4,3,10,1
Juan Herzog,ESP,Defender (DF),Las Palmas,21,19,1315,0,0,1,0
Omar El Hilali,MAR,Defender (DF),Espanyol,20,36,3153,0,2,11,0
Roger Hinojo,ESP,Defender (DF),Espanyol,19,1,9,0,0,0,0
Dinko Horkaš,CRO,Goalkeeper (GK),Las Palmas,25,13,1085,0,0,1,0
Pablo Ibáñez,ESP,Midfielder (MF),Osasuna,25,28,1294,1,1,4,0
Stanis Idumbo,BEL,Forward (FW),Sevilla,19,14,284,1,1,0,0
Iglesias,ESP,Defender (DF),Getafe,26,37,2888,0,1,4,0
Borja Iglesias,ESP,Forward (FW),Celta Vigo,31,37,1952,11,3,2,0
Kelechi Iheanacho,NGA,Forward (FW),Sevilla,27,9,400,0,0,0,0
Isco,ESP,Midfielder (MF),Betis,32,22,1547,9,8,5,0
Diego Iturralde,ESP,Forward (FW),Sevilla,21,1,37,0,0,0,0
Ivan Jaime Pajuelo,ESP,Midfielder (MF),Valencia,23,9,297,0,0,0,0
Karl Jakob Hein,EST,Goalkeeper (GK),Valladolid,22,31,2790,0,0,0,0
Adnan Januzaj,BEL,Midfielder (MF),Las Palmas,29,18,598,2,1,5,0
Mikel Jauregizar,ESP,Midfielder (MF),Athletic Club,20,34,2244,2,1,4,1
John Joe,IRL,Midfielder (MF),Getafe,20,4,48,0,0,1,0
Jofre,ESP,Midfielder (MF),Espanyol,23,37,2165,3,3,5,0
Frenkie de Jong,NED,Midfielder (MF),Barcelona,27,26,1143,2,2,3,0
Joan Jordán,ESP,Midfielder (MF),Alavés,30,25,1414,5,2,4,0
Juanmi,ESP,Forward (FW),Getafe,31,13,696,0,0,2,0
Juanmi,ESP,Forward (FW),Betis,31,11,244,0,0,2,0
Juanpe,ESP,Defender (DF),Girona,33,12,727,0,0,2,0
Luiz Lúcio Reis Júnior,BRA,Goalkeeper (GK),Villarreal,23,17,1458,0,0,2,0
Vinicius Júnior,BRA,Forward (FW),Real Madrid,24,30,2253,11,8,8,1
Stanko Jurić,CRO,Midfielder (MF),Valladolid,27,26,1729,0,0,7,1
Willy Kambwala,FRA,Defender (DF),Villarreal,19,19,1117,0,0,1,1
Abdoulaye Keita,ESP,Forward (FW),Getafe,21,3,95,0,0,0,0
Kenedy,BRA,Midfielder (MF),Valladolid,28,2,9,0,0,0,0
Kiké,ESP,Forward (FW),Alavés,34,35,2542,13,0,5,1
Koke,ESP,Midfielder (MF),Atlético Madrid,32,32,1926,1,1,4,0
Jules Koundé,FRA,Defender (DF),Barcelona,25,32,2605,2,3,4,0
Alex Král,CZE,Midfielder (MF),Espanyol,26,37,2714,0,1,1,0
Ladislav Krejčí,CZE,Defender (DF),Girona,25,28,2440,2,0,9,0
Takefusa Kubo,JPN,Midfielder (MF),Real Sociedad,23,36,2372,5,0,5,0
Marash Kumbulla,ALB,Defender (DF),Espanyol,24,35,2972,3,0,9,0
Luca de la Torre,USA,Midfielder (MF),Celta Vigo,26,1,4,0,0,0,0
Yoel Lago,ESP,Defender (DF),Celta Vigo,20,8,583,0,1,2,0
Cyle Larin,CAN,Forward (FW),Mallorca,29,32,1764,7,2,4,0
Juanmi Latasa,ESP,Forward (FW),Valladolid,23,28,1398,3,0,6,1
Toni Lato,ESP,Defender (DF),Mallorca,26,14,621,0,0,1,1
Robin Le Normand,ESP,Defender (DF),Atlético Madrid,27,27,2151,1,0,8,0
Florian Lejeune,FRA,Defender (DF),Rayo Vallecano,33,37,3325,2,3,8,0
Iñigo Lekue,ESP,Defender (DF),Athletic Club,31,16,773,0,0,1,0
Thomas Lemar,FRA,Midfielder (MF),Atlético Madrid,28,5,85,0,0,0,0
Clément Lenglet,FRA,Defender (DF),Atlético Madrid,29,23,1972,2,1,9,0
Robert Lewandowski,POL,Forward (FW),Barcelona,35,34,2667,27,2,1,0
Samuel Lino,BRA,Midfielder (MF),Atlético Madrid,24,31,1552,3,4,3,0
Javier Llabrés,ESP,Forward (FW),Mallorca,21,1,57,0,0,0,0
Diego Llorente,ESP,Defender (DF),Betis,30,30,2519,2,0,4,0
Marcos Llorente,ESP,Defender (DF),Atlético Madrid,29,33,2513,2,4,0,1
Giovani Lo Celso,ARG,Midfielder (MF),Betis,28,25,1457,8,3,4,0
Enzo Loiodice,FRA,Midfielder (MF),Las Palmas,23,17,684,0,0,3,0
David López,ESP,Defender (DF),Mallorca,21,2,169,0,0,0,0
David López,ESP,Defender (DF),Girona,34,29,2429,1,1,4,0
Diego López,ESP,Midfielder (MF),Valencia,22,38,2737,8,5,3,0
Fer López,ESP,Forward (FW),Celta Vigo,21,17,671,2,0,2,0
Fermin López,ESP,Midfielder (MF),Barcelona,21,28,1252,6,5,4,1
Javi López,ESP,Defender (DF),Real Sociedad,22,29,1936,0,0,4,0
Pau López,ESP,Goalkeeper (GK),Girona,29,1,45,0,0,0,0
Roberto López,ESP,Midfielder (MF),Leganés,24,13,396,0,1,0,0
Unai López,ESP,Midfielder (MF),Rayo Vallecano,28,32,1707,3,1,9,1
Iker Losada,ESP,Forward (FW),Celta Vigo,22,12,358,1,0,2,0
Iker Losada,ESP,Forward (FW),Betis,22,10,336,0,0,0,0
Pol Lozano,ESP,Midfielder (MF),Espanyol,24,30,1943,0,1,12,0
José Luis Gayà,ESP,Defender (DF),Valencia,29,23,1803,0,1,7,0
Dodi Lukebakio,BEL,Forward (FW),Sevilla,26,38,3092,11,2,3,1
Daniel Luna,COL,Midfielder (MF),Mallorca,21,2,20,0,0,0,0
Andriy Lunin,UKR,Goalkeeper (GK),Real Madrid,25,7,630,0,1,0,0
Darwin Machís,VEN,Midfielder (MF),Valladolid,31,18,639,0,1,0,0
Pablo Maffeo,ESP,Defender (DF),Mallorca,27,30,2368,0,2,7,0
Jon Magunazelaia,ESP,Midfielder (MF),Real Sociedad,23,2,7,0,0,0,0
Giorgi Mamardashvili,GEO,Goalkeeper (GK),Valencia,23,34,3060,0,0,2,0
Reinildo Mandava,MOZ,Defender (DF),Atlético Madrid,30,19,941,0,0,4,0
Javier Manquillo,ESP,Defender (DF),Celta Vigo,30,10,515,0,0,1,0
Marcão,BRA,Defender (DF),Sevilla,28,12,552,0,0,6,1
Óscar de Marcos,ESP,Defender (DF),Athletic Club,35,26,1564,0,4,0,0
Alberto Marí,ESP,Forward (FW),Valencia,23,1,7,0,0,0,0
